Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2023-01-01,Πρωτοχρονιά,New Year's Day,GR,False,True,,Public,
2023-01-06,Θεοφάνεια,Epiphany,GR,False,True,,Public,
2023-02-27,Καθαρά Δευτέρα,Clean Monday,GR,False,True,,Public,
2023-03-25,Ευαγγελισμός της Θεοτόκου,Annunciation,GR,False,True,,Public,
2023-03-25,Εικοστή Πέμπτη Μαρτίου,Independence Day,GR,False,True,,Public,
2023-04-14,Μεγάλη Παρασκευή,Good Friday,GR,False,True,,Public,
2023-04-16,Κυριακή του Πάσχα,Easter Sunday,GR,False,True,,Public,
2023-04-17,Δευτέρα του Πάσχα,Easter Monday,GR,False,True,,Public,
2023-05-01,Εργατική Πρωτομαγιά,Labour Day,GR,False,True,,Public,
2023-06-04,Πεντηκοστή,Pentecost,GR,False,True,,Public,
2023-06-05,Δευτέρα Πεντηκοστής,Whit Monday,GR,False,True,,Public,
2023-08-15,Κοίμηση της Θεοτόκου,Assumption Day,GR,False,True,,Public,
2023-10-28,Το Όχι,Ochi Day,GR,False,True,,Public,
2023-12-25,Χριστούγεννα,Christmas Day,GR,False,True,,Public,
2023-12-26,Σύναξις Υπεραγίας Θεοτόκου Μαρίας,St. Stephen's Day,GR,False,True,,Public,
