Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2025-01-01,New Year's Day,New Year's Day,BS,False,True,,Public,
2025-01-10,Majority Rule Day,Majority Rule Day,BS,False,True,,Public,
2025-04-01,Perry Christie Day,Perry Christie Day,BS,False,True,,Public,
2025-04-18,Good Friday,Good Friday,BS,False,True,,Public,
2025-04-21,Easter Monday,Easter Monday,BS,False,True,,Public,
2025-06-09,Whit Monday,Whit Monday,BS,False,True,,Public,
2025-07-10,Independence Day,Independence Day,BS,False,True,,Public,
2025-08-05,Emancipation Day,Emancipation Day,BS,False,True,,Public,
2025-10-12,National Heroes' Day,National Heroes' Day,BS,False,True,,Public,
2025-12-25,Christmas Day,Christmas Day,BS,False,True,,Public,
2025-12-26,Boxing Day,St. Stephen's Day,BS,False,True,,Public,
