Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2025-01-01,Ամանոր,New Year's Day,AM,False,True,,Public,
2025-01-02,Ամանոր,New Year's Day,AM,False,True,,Public,
2025-01-05,Սուրբ Ծնունդ,Christmas Day,AM,False,True,,Public,
2025-01-06,Սուրբ Ծնունդ,Christmas Day,AM,False,True,,Public,
2025-01-28,Բանակի օր,Army Day,AM,False,True,,Public,
2025-03-08,Կանանց տոն,Women's Day,AM,False,True,,Public,
2025-04-20,Ամանոր,Easter Sunday,AM,False,True,,Public,
2025-04-24,Եղեռնի զոհերի հիշատակի օր,Armenian Genocide Remembrance Day,AM,False,True,,Public,
2025-05-01,Աշխատանքի օր,Labour Day,AM,False,True,,Public,
2025-05-09,Հաղթանակի և Խաղաղության տոն,Victory and Peace Day,AM,False,True,,Public,
2025-05-28,Հանրապետության օր,Republic Day,AM,False,True,,Public,
2025-07-05,Սահմանադրության օր,Constitution Day,AM,False,True,,Public,
2025-09-21,Անկախության օր,Independence Day,AM,False,True,,Public,
2025-12-31,Ամանոր,New Year's Eve,AM,False,True,,Public,
