Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2023-01-01,New Year's Day,New Year's Day,SR,False,True,,Public,
2023-01-06,Three Kings Day,Three Kings Day,SR,False,True,,Public,
2023-01-15,World Religion Day,World Religion Day,SR,False,True,,Public,
2023-01-22,Chinese New Year,Chinese New Year,SR,False,True,,Public,
2023-02-25,Day of the Revolution,Day of the Revolution,SR,False,True,,Public,
2023-04-07,Good Friday,Good Friday,SR,False,True,,Public,
2023-04-09,Easter Sunday,Easter Sunday,SR,False,True,,Public,
2023-05-01,Labour Day,Labour Day,SR,False,True,,Public,
2023-05-18,Ascension Day,Ascension Day,SR,False,True,,Public,
2023-06-05,Indian Arrival Day,Indian Arrival Day,SR,False,True,,Public,
2023-07-01,Keti Koti,Keti Koti,SR,False,True,,Public,
2023-08-08,Javanese Arrival Day,Javanese Arrival Day,SR,False,True,,Public,
2023-08-09,Indigenous People's Day,Indigenous People's Day,SR,False,True,,Public,
2023-10-10,Day of the Maroons,Day of the Maroons,SR,False,True,,Public,
2023-10-20,Chinese Arrival day,Chinese Arrival day,SR,False,True,,Public,
2023-11-25,Independence Day,Independence Day,SR,False,True,,Public,
2023-12-25,Christmas Day,Christmas Day,SR,False,True,,Public,
2023-12-26,Boxing Day,Boxing Day,SR,False,True,,Public,
