Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2019-01-01,Новый год,New Year's Day,RU,False,True,,Public,
2019-01-02,Новогодние каникулы,New Year holiday,RU,False,True,,Public,
2019-01-03,Новогодние каникулы,New Year holiday,RU,False,True,,Public,
2019-01-04,Новогодние каникулы,New Year holiday,RU,False,True,,Public,
2019-01-05,Новогодние каникулы,New Year holiday,RU,False,True,,Public,
2019-01-06,Новогодние каникулы,New Year holiday,RU,False,True,,Public,
2019-01-07,Рождество Христово,Orthodox Christmas Day,RU,False,True,,Public,
2019-02-23,День защитника Отечества,Defender of the Fatherland Day,RU,False,True,,Public,
2019-03-08,Международный женский день,International Women's Day,RU,False,True,,Public,
2019-05-01,День труда,Labour Day,RU,False,True,,Public,
2019-05-09,День Победы,Victory Day,RU,False,True,,Public,
2019-06-12,День России,Russia Day,RU,False,True,,Public,
2019-11-04,День народного единства,Unity Day,RU,False,True,,Public,
