Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-01-01,元旦新年,New Year's Day,HK,False,True,,Public,
2028-01-26,農曆年初一,Lunar New Year,HK,False,True,,Public,
2028-01-27,農曆年初二,Second day of Lunar New Year,HK,False,True,,Public,
2028-01-28,農曆年初三,Third day of Lunar New Year,HK,False,True,,Public,
2028-04-04,清明節,Ching Ming Festival,HK,False,True,,Public,
2028-04-14,耶穌受難節,Good Friday,HK,False,True,,Public,
2028-04-15,耶穌受難節翌日,Holy Saturday,HK,False,True,,Public,
2028-04-17,復活節星期一,Easter Monday,HK,False,True,,Public,
2028-05-01,勞動節,Labour Day,HK,False,True,,Public,
2028-05-02,佛誕,Buddha's Birthday,HK,False,True,,Public,
2028-05-28,端午節,Dragon Boat Festival,HK,False,True,,Public,
2028-07-01,香港特別行政區成立紀念日,Hong Kong Special Administrative Region Establishment Day,HK,False,True,,Public,
2028-10-01,中華人民共和國國慶日,National Day,HK,False,True,,Public,
2028-10-04,中秋節翌日,Day following the Mid-Autumn Festival,HK,False,True,,Public,
2028-10-26,重陽節,Chung Yeung Festival,HK,False,True,,Public,
2028-12-25,聖誕節,Christmas Day,HK,False,True,,Public,
2028-12-26,聖誕節翌日,Boxing Day,HK,False,True,,Public,
