Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2022-01-01,Nova godina,New Year's Day,ME,False,True,,Public,
2022-01-02,Nova godina,New Year's Day,ME,False,True,,Public,
2022-01-06,Badnji dan,Orthodox Christmas Eve,ME,False,True,,Optional,
2022-01-07,Božić,Orthodox Christmas Day,ME,False,True,,Optional,
2022-01-08,Božić,Orthodox Christmas Day,ME,False,True,,Optional,
2022-04-15,Veliki petak,Good Friday,ME,False,True,,Optional,
2022-04-17,Uskrs,Easter Sunday,ME,False,True,,Optional,
2022-04-18,Uskrs,Easter Monday,ME,False,True,,Optional,
2022-04-22,Vaskrs,Good Friday,ME,False,True,,Optional,
2022-04-25,Vaskrs,Easter Monday,ME,False,True,,Optional,
2022-05-01,Praznik rada,Labour Day,ME,False,True,,Public,
2022-05-02,Praznik rada,Labour Day,ME,False,True,,Public,
2022-05-21,Dan nezavisnosti,Independence Day,ME,False,True,,Public,
2022-05-22,Dan nezavisnosti,Independence Day,ME,False,True,,Public,
2022-07-13,Dan državnosti,Statehood Day,ME,False,True,,Public,
2022-07-14,Dan državnosti,Statehood Day,ME,False,True,,Public,
2022-11-01,Svi Sveti,Catholic All Saints' Day,ME,False,True,,Optional,
2022-12-24,Badnji dan,Catholic Christmas Eve,ME,False,True,,Optional,
2022-12-25,Božić,Catholic Christmas Day,ME,False,True,,Optional,
2022-12-26,Božić,Catholic St. Stephen's Day,ME,False,True,,Optional,
