Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2027-01-01,New Year's Day,New Year's Day,NZ,False,True,,Public,
2027-01-02,Day after New Year's Day,Day after New Year's Day,NZ,False,True,,Public,
2027-01-22,Wellington Anniversary Day,Wellington Anniversary Day,NZ,False,False,,Public,"NZ-WGN,NZ-MWT"
2027-01-29,Auckland/Northland Anniversary Day,Auckland Anniversary Day,NZ,False,False,,Public,"NZ-AUK,NZ-NTL,NZ-MWT,NZ-WKO,NZ-GIS,NZ-BOP,NZ-HKB"
2027-02-01,Nelson Anniversary Day,Nelson Anniversary Day,NZ,False,False,,Public,NZ-NSN
2027-02-06,Waitangi Day,Waitangi Day,NZ,False,True,,Public,
2027-03-08,Taranaki Anniversary Day,Taranaki Anniversary Day,NZ,False,False,,Public,NZ-TKI
2027-03-23,Otago Anniversary Day,Otago Anniversary Day,NZ,False,False,,Public,NZ-OTA
2027-03-26,Good Friday,Good Friday,NZ,False,True,,Public,
2027-03-29,Easter Monday,Easter Monday,NZ,False,True,,Public,
2027-03-30,Southland Anniversary Day,Southland Anniversary Day,NZ,False,False,,Public,NZ-STL
2027-04-25,Anzac Day,Anzac Day,NZ,False,True,,Public,
2027-06-07,King's Birthday,King's Birthday,NZ,False,True,,Public,
2027-06-25,Matariki,Matariki,NZ,False,True,,Public,
2027-09-27,Dominion Day,Canterbury (South) Anniversary Day,NZ,False,False,,Public,NZ-CAN
2027-10-22,Hawke's Bay Anniversary Day,Hawke's Bay Anniversary Day,NZ,False,False,,Public,NZ-HKB
2027-10-25,Labour Day,Labour Day,NZ,False,True,,Public,
2027-11-01,Marlborough Anniversary Day,Marlborough Anniversary Day,NZ,False,False,,Public,NZ-MBH
2027-11-12,Canterbury (North & Central) Anniversary Day,Canterbury Anniversary Day,NZ,False,False,,Public,NZ-CAN
2027-11-30,Chatham Islands Anniversary Day,Chatham Islands Anniversary Day,NZ,False,False,,Public,NZ-CIT
2027-12-01,Westland Anniversary Day,Westland Anniversary Day,NZ,False,False,,Public,NZ-WTC
2027-12-25,Christmas Day,Christmas Day,NZ,False,True,,Public,
2027-12-26,Boxing Day,Boxing Day,NZ,False,True,,Public,
