Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,New Year's Day,New Year's Day,PG,False,True,,Public,
2024-03-29,Good Friday,Good Friday,PG,False,True,,Public,
2024-03-30,Holy Saturday,Holy Saturday,PG,False,True,,Public,
2024-03-31,Easter Sunday,Easter Sunday,PG,False,True,,Public,
2024-04-01,Easter Monday,Easter Monday,PG,False,True,,Public,
2024-06-10,Queen's Birthday,Queen's Birthday,PG,False,True,,Public,
2024-07-23,Remembrance Day,Remembrance Day,PG,False,True,,Public,
2024-08-26,Repentance Day,Repentance Day,PG,False,True,,Public,
2024-09-16,Independence Day,Independence Day,PG,False,True,,Public,
2024-12-25,Christmas Day,Christmas Day,PG,False,True,,Public,
2024-12-26,St. Stephen's Day,Boxing Day,PG,False,True,,Public,
