Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2019-01-01,Jaunais Gads,New Year's Day,LV,False,True,,Public,
2019-04-19,Lielā Piektdiena,Good Friday,LV,False,True,,Public,
2019-04-21,Lieldienas,Easter Sunday,LV,False,True,,Public,
2019-04-22,Otrās Lieldienas,Easter Monday,LV,False,True,,Public,
2019-05-01,Darba svētki,Labour Day,LV,False,True,,Public,
2019-05-04,Latvijas Republikas Neatkarības atjaunošanas diena,Restoration of Independence day,LV,False,True,,Public,
2019-05-12,Mātes diena,Mother's Day,LV,False,True,,Public,
2019-06-23,Līgo Diena,Midsummer Eve,LV,False,True,,Public,
2019-06-24,Jāņi,Midsummer Day,LV,False,True,,Public,
2019-11-18,Latvijas Republikas proklamēšanas diena,Proclamation Day of the Republic of Latvia,LV,False,True,,Public,
2019-12-24,Ziemassvētku vakars,Christmas Eve,LV,False,True,,Public,
2019-12-25,Ziemassvētki,Christmas Day,LV,False,True,,Public,
2019-12-26,Otrie Ziemassvētki,St. Stephen's Day,LV,False,True,,Public,
2019-12-31,Vecgada vakars,New Year's Eve,LV,False,True,,Public,
