Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2025-01-01,Jour de l'an,New Year's Day,FR,False,True,,Public,
2025-04-21,Lundi de Pâques,Easter Monday,FR,False,True,,Public,
2025-05-01,Fête du Travail,Labour Day,FR,False,True,,Public,
2025-05-08,Victoire 1945,Victory in Europe Day,FR,False,True,,Public,
2025-05-29,Ascension,Ascension Day,FR,False,True,,Public,
2025-06-09,Lundi de Pentecôte,Whit Monday,FR,False,True,,Public,
2025-07-14,Fête nationale,Bastille Day,FR,False,True,,Public,
2025-08-15,Assomption,Assumption Day,FR,False,True,,Public,
2025-11-01,Toussaint,All Saints' Day,FR,False,True,,Public,
2025-11-11,Armistice 1918,Armistice Day,FR,False,True,,Public,
2025-12-25,Noël,Christmas Day,FR,False,True,,Public,
