Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2022-01-01,novo leto,New Year's Day,SI,False,True,,Public,
2022-01-02,novo leto,New Year's Day,SI,False,True,,Public,
2022-02-08,Prešernov dan,Prešeren Day,SI,False,True,,Public,
2022-04-17,velikonočna nedelja in ponedeljek,Easter Sunday,SI,False,True,,Public,
2022-04-18,velikonočna nedelja in ponedeljek,Easter Monday,SI,False,True,,Public,
2022-04-27,dan upora proti okupatorju,Day of Uprising Against Occupation,SI,False,True,,Public,
2022-05-01,praznik dela,May Day Holiday,SI,False,True,,Public,
2022-05-02,praznik dela,May Day Holiday,SI,False,True,,Public,
2022-06-05,"binkoštna nedelja, binkošti",Pentecost,SI,False,True,,Public,
2022-06-25,dan državnosti,Statehood Day,SI,False,True,,Public,
2022-08-15,Marijino vnebovzetje,Assumption Day,SI,False,True,,Public,
2022-10-31,dan reformacije,Reformation Day,SI,False,True,,Public,
2022-11-01,dan spomina na mrtve,Day of the Dead,SI,False,True,,Public,
2022-12-25,božič,Christmas Day,SI,False,True,,Public,
2022-12-26,dan samostojnosti in enotnosti,Independence and Unity Day,SI,False,True,,Public,
