Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2029-01-01,Neujahr,New Year's Day,AT,False,True,,Public,
2029-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,Public,
2029-04-02,Ostermontag,Easter Monday,AT,False,True,,Public,
2029-05-01,Staatsfeiertag,National Holiday,AT,False,True,,Public,
2029-05-10,Christi Himmelfahrt,Ascension Day,AT,False,True,,Public,
2029-05-21,Pfingstmontag,Whit Monday,AT,False,True,,Public,
2029-05-31,Fronleichnam,Corpus Christi,AT,False,True,,Public,
2029-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,Public,
2029-10-26,Nationalfeiertag,National Holiday,AT,False,True,,Public,
2029-11-01,Allerheiligen,All Saints' Day,AT,False,True,,Public,
2029-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,Public,
2029-12-25,Weihnachten,Christmas Day,AT,False,True,,Public,
2029-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,Public,
