Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2019-01-01,New Year's Day,New Year's Day,NG,False,True,,Public,
2019-04-19,Good Friday,Good Friday,NG,False,True,,Public,
2019-04-22,Easter Monday,Easter Monday,NG,False,True,,Public,
2019-05-01,Workers' Day,Workers' Day,NG,False,True,,Public,
2019-05-27,Children's Day,Children's Day,NG,False,True,,Public,
2019-06-12,Democracy Day,Democracy Day,NG,False,True,,Public,
2019-10-01,National Day,National Day,NG,False,True,,Public,
2019-11-01,National Youth Day,National Youth Day,NG,False,True,,Public,
2019-12-25,Christmas Day,Christmas Day,NG,False,True,,Public,
2019-12-26,Boxing Day,Boxing Day,NG,False,True,,Public,
