Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-01-01,New Year's Day,New Year's Day,NI,False,True,,Public,
2028-02-01,Air Force Day,Air Force Day,NI,False,True,,Public,
2028-04-06,Holy Thursday,Holy Thursday,NI,False,True,,Public,
2028-05-01,Labour Day,Labour Day,NI,False,True,,Public,
2028-05-27,Army Day,Army Day,NI,False,True,,Public,
2028-07-19,Liberation Day,Liberation Day,NI,False,True,,Public,
2028-09-14,Battle of San Jacinto,Battle of San Jacinto,NI,False,True,,Public,
2028-09-15,Independence Day,Independence Day,NI,False,True,,Public,
2028-10-12,Indigenous Resistance Day,Indigenous Resistance Day,NI,False,True,,Public,
2028-12-08,Immaculate Conception,Immaculate Conception,NI,False,True,,Public,
2028-12-25,Christmas Day,Christmas Day,NI,False,True,,Public,
2028-12-31,New Year's Eve,New Year's Eve,NI,False,True,,Public,
