Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2026-01-01,Жаңа жыл,New Year's Day,KZ,False,True,,Public,
2026-01-02,Жаңа жыл,New Year's Day,KZ,False,True,,Public,
2026-03-08,Халықаралық әйелдер күні,International Women's Day,KZ,False,True,,Public,
2026-03-21,Наурыз мейрамы,Nauryz Meyramy,KZ,False,True,,Public,
2026-03-22,Наурыз мейрамы,Nauryz Meyramy,KZ,False,True,,Public,
2026-03-23,Наурыз мейрамы,Nauryz Meyramy,KZ,False,True,,Public,
2026-05-01,Қазақстан халқының,Kazakhstan People's Unity Day,KZ,False,True,,Public,
2026-05-07,Отан Қорғаушы күні,Defender of the Fatherland Day,KZ,False,True,,Public,
2026-05-09,Жеңіс күні,Great Patriotic War Against Fascism Victory Day,KZ,False,True,,Public,
2026-07-06,Астана күні,Capital City Day,KZ,False,True,,Public,
2026-08-30,Конституция күні,Constitution Day,KZ,False,True,,Public,
2026-10-25,Республика күні,Republic Day,KZ,False,True,,Public,
2026-12-16,Тәуелсіздік күні,Independence Day,KZ,False,True,,Public,
