Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,Año Nuevo,New Year's Day,ES,False,True,,Public,
2024-01-06,Día de Reyes / Epifanía del Señor,Epiphany,ES,False,True,,Public,
2024-02-28,Día de Andalucía,Day of Andalucía,ES,False,False,,Public,ES-AN
2024-03-01,Dia de les Illes Balears,Day of the Balearic Islands,ES,False,False,,Public,ES-IB
2024-03-28,Jueves Santo,Maundy Thursday,ES,False,False,,Public,"ES-AN,ES-AR,ES-CL,ES-CM,ES-CN,ES-EX,ES-GA,ES-IB,ES-RI,ES-MD,ES-MC,ES-NC,ES-AS,ES-PV,ES-CB"
2024-03-29,Viernes Santo,Good Friday,ES,False,True,,Public,
2024-04-01,Lunes de Pascua,Easter Monday,ES,False,False,,Public,"ES-CT,ES-IB,ES-RI,ES-NC,ES-PV,ES-VC"
2024-04-23,Día de Castilla y León,Castile and León Day,ES,False,False,,Public,ES-CL
2024-04-23,San Jorge (Día de Aragón),Day of Aragón,ES,False,False,,Public,ES-AR
2024-05-01,Fiesta del trabajo,Labour Day,ES,False,True,,Public,
2024-05-02,Fiesta de la Comunidad de Madrid,Day of Madrid,ES,False,False,,Public,ES-MD
2024-05-17,Día das Letras Galegas,Galician Literature Day,ES,False,False,,Public,ES-GA
2024-05-30,Corpus Christi,Corpus Christi,ES,False,False,,Public,ES-CM
2024-05-30,Día de Canarias,Day of the Canary Islands,ES,False,False,,Public,ES-CN
2024-05-31,Día de la Región Castilla-La Mancha,Day of Castilla-La Mancha,ES,False,False,,Public,ES-CM
2024-06-09,Día de La Rioja,Day of La Rioja,ES,False,False,,Public,ES-RI
2024-06-09,Día de la Región de Murcia,Day of Murcia,ES,False,False,,Public,ES-MC
2024-06-24,Sant Joan,St. John's Day,ES,False,False,,Public,"ES-CT,ES-VC"
2024-07-25,Santiago Apóstol,Santiago Apóstol,ES,False,False,,Public,"ES-GA,ES-PV"
2024-07-28,Día de las Instituciones de Cantabria,Day of the Cantabrian Institutions,ES,False,False,,Public,ES-CB
2024-08-15,Asunción,Assumption,ES,False,True,,Public,
2024-09-08,Día de Asturias,Day of Asturias,ES,False,False,,Public,ES-AS
2024-09-08,Día de Extremadura,Day of Extremadura,ES,False,False,,Public,ES-EX
2024-09-11,Diada Nacional de Catalunya,National Day of Catalonia,ES,False,False,,Public,ES-CT
2024-09-15,La Bien Aparecida,Regional Holiday,ES,False,False,,Public,ES-CB
2024-10-09,Dia de la Comunitat Valenciana,Day of the Valencian Community,ES,False,False,,Public,ES-VC
2024-10-12,Fiesta Nacional de España,Fiesta Nacional de España,ES,False,True,,Public,
2024-11-01,Día de todos los Santos,All Saints Day,ES,False,True,,Public,
2024-12-06,Día de la Constitución,Constitution Day,ES,False,True,,Public,
2024-12-08,Inmaculada Concepción,Immaculate Conception,ES,False,True,,Public,
2024-12-25,Navidad,Christmas Day,ES,False,True,,Public,
2024-12-26,St. Stephen's Day,Santiago Apóstol,ES,False,False,,Public,ES-CT
