Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2023-01-01,Jaunais Gads,New Year's Day,LV,False,True,,Public,
2023-04-07,Lielā Piektdiena,Good Friday,LV,False,True,,Public,
2023-04-09,Lieldienas,Easter Sunday,LV,False,True,,Public,
2023-04-10,Otrās Lieldienas,Easter Monday,LV,False,True,,Public,
2023-05-01,Darba svētki,Labour Day,LV,False,True,,Public,
2023-05-04,Latvijas Republikas Neatkarības atjaunošanas diena,Restoration of Independence day,LV,False,True,,Public,
2023-05-14,Mātes diena,Mother's Day,LV,False,True,,Public,
2023-06-23,Līgo Diena,Midsummer Eve,LV,False,True,,Public,
2023-06-24,Jāņi,Midsummer Day,LV,False,True,,Public,
2023-11-18,Latvijas Republikas proklamēšanas diena,Proclamation Day of the Republic of Latvia,LV,False,True,,Public,
2023-12-24,Ziemassvētku vakars,Christmas Eve,LV,False,True,,Public,
2023-12-25,Ziemassvētki,Christmas Day,LV,False,True,,Public,
2023-12-26,Otrie Ziemassvētki,St. Stephen's Day,LV,False,True,,Public,
2023-12-31,Vecgada vakars,New Year's Eve,LV,False,True,,Public,
