Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2027-01-01,New Year's Day,New Year's Day,BS,False,True,,Public,
2027-01-10,Majority Rule Day,Majority Rule Day,BS,False,True,,Public,
2027-03-26,Good Friday,Good Friday,BS,False,True,,Public,
2027-03-29,Easter Monday,Easter Monday,BS,False,True,,Public,
2027-04-01,Perry Christie Day,Perry Christie Day,BS,False,True,,Public,
2027-05-17,Whit Monday,Whit Monday,BS,False,True,,Public,
2027-07-10,Independence Day,Independence Day,BS,False,True,,Public,
2027-08-05,Emancipation Day,Emancipation Day,BS,False,True,,Public,
2027-10-12,National Heroes' Day,National Heroes' Day,BS,False,True,,Public,
2027-12-25,Christmas Day,Christmas Day,BS,False,True,,Public,
2027-12-26,Boxing Day,St. Stephen's Day,BS,False,True,,Public,
