Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,元日,New Year's Day,JP,False,True,,Public,
2024-01-08,成人の日,Coming of Age Day,JP,False,True,,Public,
2024-02-11,建国記念の日,Foundation Day,JP,False,True,,Public,
2024-02-23,天皇誕生日,The Emperor's Birthday,JP,False,True,,Public,
2024-03-20,春分の日,Vernal Equinox Day,JP,False,True,,Public,
2024-04-29,昭和の日,Shōwa Day,JP,False,True,,Public,
2024-05-03,憲法記念日,Constitution Memorial Day,JP,False,True,,Public,
2024-05-04,みどりの日,Greenery Day,JP,False,True,,Public,
2024-05-05,こどもの日,Children's Day,JP,False,True,,Public,
2024-07-15,海の日,Marine Day,JP,False,True,,Public,
2024-08-11,山の日,Mountain Day,JP,False,True,,Public,
2024-09-16,敬老の日,Respect for the Aged Day,JP,False,True,,Public,
2024-09-22,秋分の日,Autumnal Equinox Day,JP,False,True,,Public,
2024-10-14,スポーツの日,Sports Day,JP,False,True,,Public,
2024-11-03,文化の日,Culture Day,JP,False,True,,Public,
2024-11-23,勤労感謝の日,Labour Thanksgiving Day,JP,False,True,,Public,
