Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2023-01-01,元旦新年,New Year's Day,HK,False,True,,Public,
2023-01-22,農曆年初一,Lunar New Year,HK,False,True,,Public,
2023-01-23,農曆年初二,Second day of Lunar New Year,HK,False,True,,Public,
2023-01-24,農曆年初三,Third day of Lunar New Year,HK,False,True,,Public,
2023-04-04,清明節,Ching Ming Festival,HK,False,True,,Public,
2023-04-07,耶穌受難節,Good Friday,HK,False,True,,Public,
2023-04-08,耶穌受難節翌日,Holy Saturday,HK,False,True,,Public,
2023-04-10,復活節星期一,Easter Monday,HK,False,True,,Public,
2023-05-01,勞動節,Labour Day,HK,False,True,,Public,
2023-05-26,佛誕,Buddha's Birthday,HK,False,True,,Public,
2023-06-22,端午節,Dragon Boat Festival,HK,False,True,,Public,
2023-07-01,香港特別行政區成立紀念日,Hong Kong Special Administrative Region Establishment Day,HK,False,True,,Public,
2023-09-30,中秋節翌日,Day following the Mid-Autumn Festival,HK,False,True,,Public,
2023-10-01,中華人民共和國國慶日,National Day,HK,False,True,,Public,
2023-10-23,重陽節,Chung Yeung Festival,HK,False,True,,Public,
2023-12-25,聖誕節,Christmas Day,HK,False,True,,Public,
2023-12-26,聖誕節翌日,Boxing Day,HK,False,True,,Public,
