Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2022-01-01,New Year's Day,New Year's Day,AU,False,True,,Public,
2022-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2022-03-07,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2022-03-14,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2022-03-14,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2022-03-14,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2022-03-14,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2022-04-15,Good Friday,Good Friday,AU,False,True,,Public,
2022-04-16,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2022-04-17,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-QLD,AU-VIC,AU-WA"
2022-04-18,Easter Monday,Easter Monday,AU,False,True,,Public,
2022-04-25,Anzac Day,Anzac Day,AU,False,True,,Public,
2022-05-02,May Day,May Day,AU,False,False,,Public,AU-NT
2022-05-02,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2022-05-30,Reconciliation Day,Reconciliation Day,AU,False,False,,Public,AU-ACT
2022-06-06,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2022-06-13,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2022-08-01,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2022-09-22,National Day of Mourning,National Day of Mourning,AU,False,True,,Public,
2022-10-03,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2022-10-03,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,AU-QLD
2022-11-01,Melbourne Cup,Melbourne Cup,AU,False,False,,Public,AU-VIC
2022-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2022-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
