Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2019-01-01,Año Nuevo,New Year's Day,EC,False,True,,Public,
2019-03-04,Carnaval,Carnival,EC,False,True,,Public,
2019-03-05,Carnaval,Carnival,EC,False,True,,Public,
2019-04-19,Good Friday,Good Friday,EC,False,True,,Public,
2019-05-01,International Workers' Day,International Workers' Day,EC,False,True,,Public,
2019-05-24,Batalla de Pichincha,The Battle of Pichincha,EC,False,True,,Public,
2019-08-10,Primer Grito de Independencia,Declaration of Independence of Quito,EC,False,True,,Public,
2019-10-09,Independencia de Guayaquil,Independence of Guayaquil,EC,False,True,,Public,
2019-11-02,"Día de los Difuntos, Día de Muertos",All Souls' Day,EC,False,True,,Public,
2019-11-03,Independencia de Cuenca,Independence of Cuenca,EC,False,True,,Public,
2019-12-25,Día de Navidad,Christmas Day,EC,False,True,,Public,
