Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,New Year's Day,New Year's Day,BW,False,True,,Public,
2020-04-10,Good Friday,Good Friday,BW,False,True,,Public,
2020-04-13,Easter Monday,Easter Monday,BW,False,True,,Public,
2020-05-01,Labour Day,Labour Day,BW,False,True,,Public,
2020-05-21,Ascension Day,Ascension Day,BW,False,True,,Public,
2020-07-01,Sir Seretse Khama Day,Sir Seretse Khama Day,BW,False,True,,Public,
2020-07-20,Presidents' Day,Presidents' Day,BW,False,True,,Public,
2020-09-30,Independence Day,Independence Day,BW,False,True,,Public,
2020-10-01,Botswana Day holiday,Botswana Day holiday,BW,False,True,,Public,
2020-12-25,Christmas Day,Christmas Day,BW,False,True,,Public,
2020-12-26,Boxing Day,St. Stephen's Day,BW,False,True,,Public,
