Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2021-01-01,New Year's Day,New Year's Day,LS,False,True,,Public,
2021-03-11,Moshoeshoe Day,Moshoeshoe Day,LS,False,True,,Public,
2021-04-02,Good Friday,Good Friday,LS,False,True,,Public,
2021-04-05,Easter Monday,Easter Monday,LS,False,True,,Public,
2021-05-01,Workers' Day,Workers' Day,LS,False,True,,Public,
2021-05-13,Ascension Day,Ascension Day,LS,False,True,,Public,
2021-05-25,Africa Day/ Heroes' Day,Africa Day/ Heroes' Day,LS,False,True,,Public,
2021-07-17,King Letsie III's Birthday,King Letsie III's Birthday,LS,False,True,,Public,
2021-10-04,Independence Day,Independence Day,LS,False,True,,Public,
2021-12-25,Christmas Day,Christmas Day,LS,False,True,,Public,
2021-12-26,St. Stephen's Day,Boxing Day,LS,False,True,,Public,
