Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2021-01-01,novo leto,New Year's Day,SI,False,True,,Public,
2021-01-02,novo leto,New Year's Day,SI,False,True,,Public,
2021-02-08,Prešernov dan,Prešeren Day,SI,False,True,,Public,
2021-04-04,velikonočna nedelja in ponedeljek,Easter Sunday,SI,False,True,,Public,
2021-04-05,velikonočna nedelja in ponedeljek,Easter Monday,SI,False,True,,Public,
2021-04-27,dan upora proti okupatorju,Day of Uprising Against Occupation,SI,False,True,,Public,
2021-05-01,praznik dela,May Day Holiday,SI,False,True,,Public,
2021-05-02,praznik dela,May Day Holiday,SI,False,True,,Public,
2021-05-23,"binkoštna nedelja, binkošti",Pentecost,SI,False,True,,Public,
2021-06-25,dan državnosti,Statehood Day,SI,False,True,,Public,
2021-08-15,Marijino vnebovzetje,Assumption Day,SI,False,True,,Public,
2021-10-31,dan reformacije,Reformation Day,SI,False,True,,Public,
2021-11-01,dan spomina na mrtve,Day of the Dead,SI,False,True,,Public,
2021-12-25,božič,Christmas Day,SI,False,True,,Public,
2021-12-26,dan samostojnosti in enotnosti,Independence and Unity Day,SI,False,True,,Public,
