Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-01-01,Lá Caille,New Year's Day,IE,False,True,,Public,
2028-02-07,Lá Fhéile Bríde,Saint Brigid's Day,IE,False,True,,Public,
2028-03-17,Lá Fhéile Pádraig,Saint Patrick's Day,IE,False,True,,Public,
2028-04-14,Aoine an Chéasta,Good Friday,IE,False,True,,"Bank, School",
2028-04-17,Luan Cásca,Easter Monday,IE,False,True,,Public,
2028-05-01,Lá Bealtaine,May Day,IE,False,True,,Public,
2028-06-05,Lá Saoire i mí an Mheithimh,June Holiday,IE,False,True,,Public,
2028-08-07,Lá Saoire i mí Lúnasa,August Holiday,IE,False,True,,Public,
2028-10-30,Lá Saoire i mí Dheireadh Fómhair,October Holiday,IE,False,True,,Public,
2028-12-25,Lá Nollag,Christmas Day,IE,False,True,,Public,
2028-12-26,Lá Fhéile Stiofáin,St. Stephen's Day,IE,False,True,,Public,
