Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,New Year's Day,New Year's Day,IM,False,True,,Public,
2024-03-29,Good Friday,Good Friday,IM,False,True,,Public,
2024-04-01,Easter Monday,Easter Monday,IM,False,True,,Public,
2024-05-06,Early May Bank Holiday,Early May Bank Holiday,IM,False,True,,Public,
2024-05-27,Spring Bank Holiday,Spring Bank Holiday,IM,False,True,,Public,
2024-06-07,Senior Race Day,Senior Race Day,IM,False,True,,Public,
2024-07-05,Tynwald Day,Tynwald Day,IM,False,True,,Public,
2024-08-26,Late Summer Bank Holiday,Late Summer Bank Holiday,IM,False,True,,Public,
2024-12-25,Christmas Day,Christmas Day,IM,False,True,,Public,
2024-12-26,St. Stephen's Day,Boxing Day,IM,False,True,,Public,
