Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,Újév,New Year's Day,HU,False,True,,Public,
2024-03-15,Nemzeti ünnep,1848 Revolution Memorial Day,HU,False,True,,Public,
2024-03-29,Nagypéntek,Good Friday,HU,False,True,,Public,
2024-03-31,Húsvétvasárnap,Easter Sunday,HU,False,True,,Public,
2024-04-01,Húsvéthétfő,Easter Monday,HU,False,True,,Public,
2024-05-01,A munka ünnepe,Labour day,HU,False,True,,Public,
2024-05-19,Pünkösdvasárnap,Pentecost,HU,False,True,,Public,
2024-05-20,Pünkösdhétfő,Whit Monday,HU,False,True,,Public,
2024-08-20,Az államalapítás ünnepe,State Foundation Day,HU,False,True,,Public,
2024-10-23,Nemzeti ünnep,1956 Revolution Memorial Day,HU,False,True,,Public,
2024-11-01,Mindenszentek,All Saints Day,HU,False,True,,Public,
2024-12-25,Karácsony,Christmas Day,HU,False,True,,Public,
2024-12-26,Karácsony másnapja,St. Stephen's Day,HU,False,True,,Public,
