Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2027-01-01,Nova Godina,New Year's Day,RS,False,True,,Public,
2027-01-02,Nova Godina,New Year's Day,RS,False,True,,Public,
2027-01-07,Božić,Christmas Day,RS,False,True,,Public,
2027-02-15,Dan državnosti Srbije,Statehood Day,RS,False,True,,Public,
2027-02-16,Dan državnosti Srbije,Statehood Day,RS,False,True,,Public,
2027-04-30,Veliki petak,Good Friday,RS,False,True,,Public,
2027-05-01,Praznik rada,Labour Day,RS,False,True,,Public,
2027-05-02,Praznik rada,Labour Day,RS,False,True,,Public,
2027-05-02,Vaskrs (Uskrs),Easter Sunday,RS,False,True,,Public,
2027-05-03,Vaskrsni (Uskrsni) ponedeljak,Easter Monday,RS,False,True,,Public,
2027-11-11,Dan primirja,Armistice Day,RS,False,True,,Public,
