Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2023-01-01,Nova Godina,New Year's Day,RS,False,True,,Public,
2023-01-02,Nova Godina,New Year's Day,RS,False,True,,Public,
2023-01-07,Božić,Christmas Day,RS,False,True,,Public,
2023-02-15,Dan državnosti Srbije,Statehood Day,RS,False,True,,Public,
2023-02-16,Dan državnosti Srbije,Statehood Day,RS,False,True,,Public,
2023-04-14,Veliki petak,Good Friday,RS,False,True,,Public,
2023-04-16,Vaskrs (Uskrs),Easter Sunday,RS,False,True,,Public,
2023-04-17,Vaskrsni (Uskrsni) ponedeljak,Easter Monday,RS,False,True,,Public,
2023-05-01,Praznik rada,Labour Day,RS,False,True,,Public,
2023-05-02,Praznik rada,Labour Day,RS,False,True,,Public,
2023-11-11,Dan primirja,Armistice Day,RS,False,True,,Public,
