Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-01-01,Día de Año Nuevo,New Year's Day,PR,False,True,,Public,
2028-01-06,Día de Reyes,Three Kings Day / Epiphany,PR,False,True,,Public,
2028-01-10,Natalicio de Eugenio María de Hostos,Birthday of Eugenio María de Hostos,PR,False,True,,Public,
2028-01-17,"Natalicio de Martin Luther King, Jr.","Martin Luther King, Jr. Day",PR,False,True,,Public,
2028-02-18,Natalicio de Luis Muñoz Marín,Birthday of Luis Muñoz Marín,PR,False,True,,Public,
2028-02-21,Día de los Presidentes,Presidents' Day,PR,False,True,,Public,
2028-03-22,Día de la Abolición de Esclavitud,Emancipation Day,PR,False,True,,Public,
2028-04-14,Viernes Santo,Good Friday,PR,False,True,,Public,
2028-04-17,Natalicio de José de Diego,Birthday of José de Diego,PR,False,True,,Public,
2028-05-29,Recordación de los Muertos de la Guerra,Memorial Day,PR,False,True,,Public,
2028-07-04,Día de la Independencia de los Estados Unidos,Independence Day,PR,False,True,,Public,
2028-07-17,Natalicio de Don Luis Muñoz Rivera,Birthday of Don Luis Muñoz Rivera,PR,False,True,,Public,
2028-07-25,Constitución de Puerto Rico,Puerto Rico Constitution Day,PR,False,True,,Public,
2028-07-27,Natalicio de Dr. José Celso Barbosa,Birthday of Dr. José Celso Barbosa,PR,False,True,,Public,
2028-09-04,Día del Trabajo,Labour Day,PR,False,True,,Public,
2028-10-09,Día de la Raza Descubrimiento de América,Columbus Day,PR,False,True,,Public,
2028-11-11,Día del Veterano Día del Armisticio,Veterans Day,PR,False,True,,Public,
2028-11-19,Día del Descubrimiento de Puerto Rico,Discovery of Puerto Rico,PR,False,True,,Public,
2028-11-23,Día de Acción de Gracias,Thanksgiving Day,PR,False,True,,Public,
2028-12-24,Noche Buena,Christmas Eve,PR,False,True,,Public,
2028-12-25,Navidad,Christmas Day,PR,False,True,,Public,
