Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-01-01,New Year's Day,New Year's Day,GY,False,True,,Public,
2028-02-23,Republic Day,Republic Day,GY,False,True,,Public,
2028-04-14,Good Friday,Good Friday,GY,False,True,,Public,
2028-04-17,Easter Monday,Easter Monday,GY,False,True,,Public,
2028-05-01,Labour Day,Labour Day,GY,False,True,,Public,
2028-05-05,Arrival Day,Arrival Day,GY,False,True,,Public,
2028-05-26,Independence Day,Independence Day,GY,False,True,,Public,
2028-07-03,Caricom Day,Caricom Day,GY,False,True,,Public,
2028-08-01,Emancipation Day,Emancipation Day,GY,False,True,,Public,
2028-12-25,Christmas Day,Christmas Day,GY,False,True,,Public,
2028-12-26,Boxing Day,Boxing Day,GY,False,True,,Public,
