Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2023-01-01,Nyårsdagen,New Year's Day,AX,False,True,,Public,
2023-01-06,Trettondagen,Epiphany,AX,False,True,,Public,
2023-04-07,Långfredag,Good Friday,AX,False,True,,Public,
2023-04-09,Påskdagen,Easter Sunday,AX,False,True,,Public,
2023-04-10,Annandag påsk,Easter Monday,AX,False,True,,Public,
2023-05-01,Första maj,May Day,AX,False,True,,Public,
2023-05-18,Kristi himmelsfärdsdagn,Ascension Day,AX,False,True,,Public,
2023-05-28,Pingstdagen,Pentecost,AX,False,True,,Public,
2023-06-09,Självstyrelsedagen,Autonomy Day,AX,False,True,,Public,
2023-06-16,Midsommarafton,Midsummer Evey,AX,False,True,,Public,
2023-06-17,Midsommardagen,Midsummer Day,AX,False,True,,Public,
2023-11-04,Alla helgons dag,All Saints Day,AX,False,True,,Public,
2023-12-06,Självständighetsdagen,Independence Day,AX,False,True,,Public,
2023-12-24,Julafton,Christmas Eve,AX,False,True,,Public,
2023-12-25,Juldagen,Christmas Day,AX,False,True,,Public,
2023-12-26,Annandag jul,St. Stephen's Day,AX,False,True,,Public,
