Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-01-01,New Year's Day,New Year's Day,MD,False,True,,Public,
2028-01-07,Craciun pe stil Vechi (Orthodox Christmas),Craciun pe stil Vechi (Orthodox Christmas),MD,False,True,,Public,
2028-01-08,Craciun pe stil Vechi (Orthodox Christmas),Craciun pe stil Vechi (Orthodox Christmas),MD,False,True,,Public,
2028-02-23,Day of Veterans of the Armed Forces and Law Enforcement Agencies,Day of Veterans of the Armed Forces and Law Enforcement Agencies,MD,False,True,,Public,
2028-03-08,International Women's Day,International Women's Day,MD,False,True,,Public,
2028-04-16,Orthodox Easter,Easter Sunday,MD,False,True,,Public,
2028-05-01,Labour Day (Moldova),Labour Day (Moldova),MD,False,True,,Public,
2028-05-09,Victory and Commemoration Day,Victory and Commemoration Day,MD,False,True,,Public,
2028-05-22,Bălţi Day,Bălţi Day,MD,False,True,,Public,
2028-08-27,Independence Day (Moldova),Independence Day (Moldova),MD,False,True,,Public,
2028-08-28,Memorial Day,Memorial Day,MD,False,True,,Public,
2028-08-31,Limba Noastra (National Language Day (Moldova)),Limba Noastra (National Language Day (Moldova)),MD,False,True,,Public,
2028-09-03,Day of the Moldovan National Army,Day of the Moldovan National Army,MD,False,True,,Public,
2028-10-14,Capital's Day,Capital's Day,MD,False,True,,Public,
2028-11-21,South Capital's Day Cahul,South Capital's Day Cahul,MD,False,True,,Public,
2028-12-25,Craciun pe stil Nou (Western Christmas),Christmas Day,MD,False,True,,Public,
