Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2022-01-01,Нова година,New Year's Day,BG,False,True,,Public,
2022-03-03,Ден на oсвобождението на България от Oсманско робство,Liberation Day,BG,False,True,,Public,
2022-04-22,Разпети петък,Good Friday,BG,False,True,,Public,
2022-04-23,Велика събота,Holy Saturday,BG,False,True,,Public,
2022-04-24,Великден,Easter Sunday,BG,False,True,,Public,
2022-04-25,Велики понеделник,Easter Monday,BG,False,True,,Public,
2022-05-01,Ден на труда и на международната работническа солидарност,International Workers' Day,BG,False,True,,Public,
2022-05-06,"Гергьовден, ден на храбростта и Българската армия",Saint George's Day,BG,False,True,,Public,
2022-05-24,Ден на Българската просвета и култура и на славянската писменост,Saints Cyril and Methodius Day,BG,False,True,,Public,
2022-09-06,Ден на съединението,Unification Day,BG,False,True,,Public,
2022-09-22,Ден на независимостта на България,Independence Day,BG,False,True,,Public,
2022-12-24,Бъдни вечер,Christmas Eve,BG,False,True,,Public,
2022-12-25,Рождество Христово,Christmas Day,BG,False,True,,Public,
2022-12-26,Рождество Христово,Second day of Christmas,BG,False,True,,Public,
