Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2027-01-01,New Year's Day,New Year's Day,AU,False,True,,Public,
2027-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2027-03-01,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2027-03-08,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2027-03-08,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2027-03-08,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2027-03-08,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2027-03-26,Good Friday,Good Friday,AU,False,True,,Public,
2027-03-27,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2027-03-28,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC,AU-WA"
2027-03-29,Easter Monday,Easter Monday,AU,False,True,,Public,
2027-04-25,Anzac Day,Anzac Day,AU,False,True,,Public,
2027-05-03,May Day,May Day,AU,False,False,,Public,AU-NT
2027-05-03,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2027-05-31,Reconciliation Day,Reconciliation Day,AU,False,False,,Public,AU-ACT
2027-06-07,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2027-06-14,King's Birthday,King's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2027-08-02,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2027-10-04,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2027-10-04,King's Birthday,King's Birthday,AU,False,False,,Public,AU-QLD
2027-11-02,Melbourne Cup,Melbourne Cup,AU,False,False,,Public,AU-VIC
2027-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2027-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
