Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,New Year's Day,New Year's Day,NZ,False,True,,Public,
2020-01-02,Day after New Year's Day,Day after New Year's Day,NZ,False,True,,Public,
2020-01-22,Wellington Anniversary Day,Wellington Anniversary Day,NZ,False,False,,Public,"NZ-WGN,NZ-MWT"
2020-01-29,Auckland/Northland Anniversary Day,Auckland Anniversary Day,NZ,False,False,,Public,"NZ-AUK,NZ-NTL,NZ-MWT,NZ-WKO,NZ-GIS,NZ-BOP,NZ-HKB"
2020-02-01,Nelson Anniversary Day,Nelson Anniversary Day,NZ,False,False,,Public,NZ-NSN
2020-02-06,Waitangi Day,Waitangi Day,NZ,False,True,,Public,
2020-03-09,Taranaki Anniversary Day,Taranaki Anniversary Day,NZ,False,False,,Public,NZ-TKI
2020-03-23,Otago Anniversary Day,Otago Anniversary Day,NZ,False,False,,Public,NZ-OTA
2020-04-10,Good Friday,Good Friday,NZ,False,True,,Public,
2020-04-13,Easter Monday,Easter Monday,NZ,False,True,,Public,
2020-04-14,Southland Anniversary Day,Southland Anniversary Day,NZ,False,False,,Public,NZ-STL
2020-04-25,Anzac Day,Anzac Day,NZ,False,True,,Public,
2020-06-01,Queen's Birthday,Queen's Birthday,NZ,False,True,,Public,
2020-09-28,Dominion Day,Canterbury (South) Anniversary Day,NZ,False,False,,Public,NZ-CAN
2020-10-23,Hawke's Bay Anniversary Day,Hawke's Bay Anniversary Day,NZ,False,False,,Public,NZ-HKB
2020-10-26,Labour Day,Labour Day,NZ,False,True,,Public,
2020-11-02,Marlborough Anniversary Day,Marlborough Anniversary Day,NZ,False,False,,Public,NZ-MBH
2020-11-13,Canterbury (North & Central) Anniversary Day,Canterbury Anniversary Day,NZ,False,False,,Public,NZ-CAN
2020-11-30,Chatham Islands Anniversary Day,Chatham Islands Anniversary Day,NZ,False,False,,Public,NZ-CIT
2020-12-01,Westland Anniversary Day,Westland Anniversary Day,NZ,False,False,,Public,NZ-WTC
2020-12-25,Christmas Day,Christmas Day,NZ,False,True,,Public,
2020-12-26,Boxing Day,Boxing Day,NZ,False,True,,Public,
